dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,pos_dir,pos_coef,z_enter_eff,z_exit_eff,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-02-10 13:02:00,289.88,52.847,0.15757740576560786,0.05736083039747378,1.0,0.0007448628489634298,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:03:00,289.81,52.847,0.15780696956272514,-0.40881658552422573,1.0,0.0007436465904869875,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:04:00,289.84,52.846,0.15873085601950845,0.05799379611433188,1.0,0.0007435773919475333,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:05:00,289.9,52.846,0.16071239395573833,0.19177554708604802,1.0,0.0007436073862667355,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:06:00,289.9,52.845,0.16065794859666377,-0.08313595123777945,1.0,0.0007435374874507058,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:07:00,289.76,52.844,0.16291958784368102,-0.7264674019603538,1.0,0.000743503993831494,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:08:00,289.87,52.845,0.16495147561259785,0.4245290988939829,1.0,0.0007436764977411824,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:09:00,289.93,52.848,0.1660668384816353,0.18201972086972068,1.0,0.0007436111647320907,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:10:00,289.94,52.845,0.16581427813174768,-0.02507118752353926,1.0,0.0007435845343949296,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:12:00,289.94,52.867,0.1637549350860671,-0.1733213733324618,1.0,0.0007433411226186007,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:13:00,289.93,52.866,0.16453494021128773,-0.1254626168394148,1.0,0.0007429723301934459,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:15:00,289.95,52.863,0.1636493501339804,0.02089589314189097,1.0,0.0007428585426103991,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:16:00,289.97,52.867,0.16404125174028514,-0.010210962286363331,1.0,0.0007425285813696907,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:17:00,290.01,52.867,0.1633232608150498,0.09937749011705688,1.0,0.0007425293484261168,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:18:00,290.09,52.861,0.17270595720242427,0.31163214197811234,1.0,0.0007425005815002754,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:19:00,290.1,52.801,0.16009221352845637,0.20438482222228377,1.0,0.0007425526138558927,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
