dt,z,beta,pos_dir,pos_coef,pos_change,hedge_close,sber_close,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-02-20 12:50:00,0.9055749537210744,0.022759709756238974,0,0.0,0.0,56.299,315.89,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:51:00,0.037818025794839484,0.019471887669093416,0,0.0,0.0,56.257,315.9,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:52:00,-0.0876626897613886,-0.005737869784222035,0,0.0,0.0,56.291,315.89,0.0,-0.0,-0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:53:00,0.08688127442096606,0.060835442375458806,0,0.0,0.0,56.257,315.9,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:54:00,1.5782356548257759,0.06356390096666123,0,0.0,0.0,56.259,316.19,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:55:00,-0.4776221173839242,0.05408384641404335,0,0.0,0.0,56.289,316.12,0.0,-0.0,-0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:56:00,-0.024492990823733574,0.053903082250486276,0,0.0,0.0,56.285,316.12,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:57:00,0.0018121534296840444,0.0536740259902044,0,0.0,0.0,56.265,316.12,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:58:00,1.4656021764569689,0.07708739845903478,0,0.0,0.0,56.289,316.4,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:59:00,0.9991763664547474,0.062499339006013004,0,0.0,0.0,56.267,316.58,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:00:00,0.31585926166912354,0.06069499228092572,0,0.0,0.0,56.28,316.65,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:01:00,-0.010456579924091042,0.06053299132069317,0,0.0,0.0,56.29,316.66,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:02:00,-0.6728565825023954,0.05684192049520267,0,0.0,0.0,56.299,316.55,0.0,-0.0,-0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:03:00,-0.5967510000986901,0.05695041534369735,0,0.0,0.0,56.299,316.45,0.0,-0.0,-0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:04:00,0.2387109334158362,0.056577055671002165,0,0.0,0.0,56.299,316.5,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:05:00,-0.18028163044941117,0.07375952394164349,0,0.0,0.0,56.29,316.47,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:06:00,0.12349113523746211,0.07692250613277199,0,0.0,0.0,56.298,316.5,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:07:00,-0.6408804212978803,0.07693836592921016,0,0.0,0.0,56.298,316.39,0.0,-0.0,-0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:08:00,0.7592066306246464,0.053651958834631946,0,0.0,0.0,56.299,316.53,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 13:09:00,0.46552760032848656,0.05838014486146823,0,0.0,0.0,56.261,316.6,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
