dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,regime,pos_dir,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-03-19,326.0,59.72,0.6308114619193633,-0.5833820831305868,0.25,0.01304321876902185,sideways,-1.0,0.0,-38343.55828220859,209310.11386470194,67067.96369780226,-3.0725744965621256,-0.10051277975131516,67064.79061052595,22463.23297938807,318478.07430446823,-296014.84132508014,0.0006706479061052594
2025-03-20,324.8,59.84,0.6291284454548297,-0.5071677874506463,0.25,0.012951656112903573,sideways,-1.0,0.0,-38485.22167487685,208890.3743315508,71129.48360241506,-3.0811996339561687,-0.07112948360241417,71126.33127329749,93589.56425268555,318478.07430446823,-224888.51005178268,0.0007112633127329749
2025-03-21,322.22,59.365,0.6351425020155272,-0.34575222789409404,0.25,0.012845668228971137,sideways,-1.0,0.0,-38793.37098876543,210561.7788259075,68.944113694728,-3.0690353412660927,-0.19851479972866626,65.67656355373325,93655.24081623928,318478.07430446823,-224822.83348822896,6.567656355373325e-07
2025-03-24,320.68,58.603,0.634653461925421,0.14092110736255353,0.25,0.012730694835280623,sideways,0.0,1.0,0.0,-0.0,-100706.28414264206,-2.8402416001546347,-24.779810133211953,-100733.90419437543,-7078.663378136145,318478.07430446823,-325556.73768260435,-0.0010073390419437543
2025-03-25,317.55,58.356,0.6395672968559586,-0.6696700760301968,0.25,0.012668268755851728,sideways,-1.0,-1.0,-39363.87970398362,214202.48132154363,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-7103.901201576024,318478.07430446823,-325581.9755060442,-2.5237823439878236e-07
2025-03-26,315.94,58.19,0.6415054166955649,-0.3644820825926619,0.25,0.01257157232114812,sideways,-1.0,0.0,-39564.474267265934,214813.54184567797,27818.234424037088,-3.0772353471103315,-0.09893345822279148,27815.058255231754,20711.15705365573,318478.07430446823,-297766.9172508125,0.00027815058255231754
2025-03-27,313.24,57.821,0.6466815671325409,-0.4551156219020191,0.25,0.012485431314300646,sideways,-1.0,0.0,-39905.50376707956,216184.43126199825,27557.88358056244,-3.067315658937226,-0.18609027746267418,27554.63017462604,48265.78722828177,318478.07430446823,-270212.28707618645,0.0002755463017462604
2025-03-28,308.04,57.6,0.65355682047419,-1.2028760595373513,0.25,0.012536530772782375,sideways,-1.0,0.0,-40579.14556551097,217013.88888888888,159731.8602799124,-3.044328321250652,-0.2552853788977116,159728.56066621226,207994.347894494,318478.07430446823,-110483.72640997422,0.0015972856066621226
2025-03-31,310.05,57.301,0.6493279145231042,0.7024975065433543,0.25,0.012483941029624041,bull,-1.0,0.0,-40316.07805192711,218146.28016963054,-146451.23536445433,-3.110326655080672,-0.14645123536445415,-146454.4921423448,61539.85575214922,318478.07430446823,-256938.218552319,-0.0014645449214234479
2025-04-01,306.31,57.555,0.6396007451100946,-1.2561218603253053,0.25,0.012547270026057067,bull,-1.0,0.0,-40808.33142894453,217183.5635479107,206191.2870772934,-3.057279574144397,-0.2061912870772942,206188.0236064322,267727.8793585814,318478.07430446823,-50750.19494588685,0.002061880236064322
2025-04-02,304.3,57.22,0.6427681530718724,-0.291020970962347,0.25,0.01245431990000531,bull,-1.0,0.0,-41077.88366743345,218455.08563439356,9268.252383627885,-3.0729776074188333,-0.1547812399607281,9265.024624780506,276992.9039833619,318478.07430446823,-41485.17032110633,9.265024624780507e-05
2025-04-03,298.4,56.498,0.6611904900730776,-0.9371558270002379,0.25,0.012443529469927274,bull,-1.0,0.0,-41890.080428954425,221246.76979716096,84634.94180982633,-3.036371496125299,-0.4000840854658907,84631.50535424473,361624.40933760663,361624.40933760663,0.0,0.0008463150535424473
2025-04-04,288.77,55.865,0.6927707636156387,-1.9424476341816546,0.25,0.012733114738661804,bull,1.0,2.0,43287.04505315649,-223753.69193591693,263352.269249229,-2.9996039251451685,-49.45654932018757,263299.81309598364,624924.2224335903,624924.2224335903,0.0,0.0026329981309598364
2025-04-07,288.15,55.151,0.685951371233844,0.49754059465828776,0.25,0.012659294322276679,bull,1.0,0.0,43380.183931979875,-226650.46871316928,132922.16810928716,2.6099304487215464,-0.18659810397520185,132924.5914416319,757848.8138752222,757848.8138752222,0.0,0.001329245914416319
