dt,z,beta,pos_dir,pos_change,hedge_close,sber_close,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-04-04,-1.9424476341816546,0.6927707636156387,1.0,2.0,55.865,288.77,43287.04505315649,-223753.69193591693,263352.269249229,-2.9996039251451685,-49.45654932018757,263299.81309598364,624924.2224335903
2025-04-07,0.49754059465828776,0.685951371233844,1.0,0.0,55.151,288.15,43380.183931979875,-226650.46871316928,132922.16810928716,2.6099304487215464,-0.18659810397520185,132924.5914416319,757848.8138752222
2025-04-08,0.09298957118933686,0.6858267487538197,0.0,-1.0,55.8,290.91,0.0,-0.0,-27366.846542578947,2.88121673690691,-25.26682546184711,-27389.232151303888,730459.5817239183
2025-04-09,-0.8740080666261646,0.7109832370739942,1.0,1.0,54.707,283.72,44057.521500070485,-228489.95558155264,0.0,-0.23782343987823484,-25.0,-25.237823439878234,730434.3439004784
2025-04-10,1.095551134865897,0.7404531105363676,1.0,0.0,55.873,292.21,42777.45457034325,-223721.6544663791,107629.06932750664,2.7014570070477,-0.6404676457436851,107631.13031686794,838065.4742173464
2025-04-11,0.700647871142482,0.7534085169660416,1.0,0.0,56.794,298.55,41869.03366270306,-220093.6718667465,65161.41821244254,2.6779777158240434,-0.477256705739513,65163.61893345263,903229.093150799
2025-04-14,-0.43917707832854275,0.7530262466013692,1.0,0.0,56.8,297.07,42077.624802235165,-220070.42253521128,-63286.73185200182,2.60191031130423,-0.06328673185200188,-63284.193228422366,839944.8999223767
2025-04-15,0.24265910803730106,0.7524106381613663,0.0,-1.0,56.571,297.2,0.0,-0.0,55866.21798485359,2.8551301578137647,-24.955073964463725,55844.11804104694,895789.0179634236
2025-04-16,1.0210029871389983,0.7606231367889208,1.0,1.0,56.96,302.7,41295.01156260324,-219452.24719101124,0.0,-0.23782343987823484,-25.0,-25.237823439878234,895763.7801399837
2025-04-17,-0.6394535535032384,0.7573445911978729,1.0,0.0,57.149,301.24,41495.15336608684,-218726.48690265795,-101767.19160050101,2.602292834806377,-0.1017671916004999,-101764.69107485781,793999.0890651259
2025-04-18,0.23734886540553332,0.7564098168593743,0.0,-1.0,56.808,300.93,0.0,-0.0,61722.23449031959,2.8509444069535417,-24.912550770422705,61700.172883956126,855699.261949082
2025-04-21,1.4866013444828996,0.7641942016010298,1.0,1.0,57.05,307.68,40626.6250650026,-219106.04732690623,0.0,-0.23782343987823484,-25.0,-25.237823439878234,855674.0241256421
2025-04-22,0.5166670463644955,0.7652685342413728,1.0,0.0,57.151,310.33,40279.702252440955,-218718.83256635928,85530.84564223708,2.6406378743734216,-0.12979026720227338,85533.35648984424,941207.3806154864
2025-04-23,0.3562818550340512,0.7651286376585095,1.0,0.0,57.105,311.79,40091.086949549375,-218895.01794939148,68869.4315866192,2.629484406078059,-0.06886943158661897,68871.99220159369,1010079.3728170801
2025-04-24,-0.9522145090442269,0.7577025918854585,1.0,0.0,57.431,309.77,40352.51961132453,-217652.48733262526,-152343.77148959303,2.5975683419395525,-0.15234377148959133,-152341.32626502257,857738.0465520576
2025-04-25,1.3364896040612182,0.7655321110319586,1.0,0.0,57.722,316.37,39510.6994974239,-216555.21291708533,202989.75562094804,2.6768630051981903,-0.3296635032485393,202992.10282045,1060730.1493725076
2025-04-28,0.5004354671981258,0.7638817602001042,1.0,0.0,57.511,317.77,39336.62712024421,-217349.72440054946,101008.12922189725,2.6286868293675165,-0.1010081292218959,101010.6569005974,1161740.806273105
2025-04-29,-1.5685612951589387,0.7728985303571635,1.0,0.0,57.23,310.7,40231.73479240425,-218416.9142058361,-217034.6811835706,2.552562415432239,-0.33918522629667913,-217032.46780638146,944708.3384667237
2025-04-30,-1.3914405358923931,0.7644307608952879,1.0,0.0,57.49,306.62,40767.073250277215,-217429.11810749694,-220933.87564652722,2.578581702141626,-0.22093387564652803,-220931.51799870073,723776.820468023
2025-05-02,-1.0806545184977334,0.7751028520092584,1.0,0.0,57.029,300.75,41562.75976724854,-219186.7295586456,-139067.89653157166,2.56142251446443,-0.33953754342668396,-139065.67464660062,584711.1458214223
2025-05-05,-1.458333746368374,0.7967900909812662,1.0,0.0,56.33,292.41,42748.19602612769,-221906.62169359135,-193421.89249735742,2.5369177892407486,-0.49984494042034594,-193419.8554245086,391291.29039691377
2025-05-06,2.5398615756686933,0.8097670792457926,-1.0,-2.0,56.549,303.13,-41236.43321347277,221047.23337282712,409663.1112491908,2.7206835604414197,-50.50685821155098,409615.3250745397,800906.6154714534
2025-05-07,-0.5666711965519807,0.8036722051222128,-1.0,0.0,56.969,302.9,-41267.745130406074,219417.5779810072,102324.21765568724,-3.089539334937801,-0.10232421765568794,102321.02579213465,903227.6412635881
2025-05-08,-0.8228121416377815,0.7938485120526719,-1.0,0.0,57.471,301.95,-41397.58238118894,217501.00050460233,149351.98202034988,-3.082753951779174,-0.14935198202035124,149348.74991441608,1052576.3911780042
2025-05-12,2.1113908062233455,0.7935000483566866,-1.0,0.0,57.449,310.46,-40262.83579205051,217584.29215478076,-357078.4480750184,-3.1721370074727364,-0.3570784480750192,-357081.97729047394,695494.4138875303
2025-05-13,0.8125621234147128,0.7881272270945968,-1.0,0.0,57.087,312.5,-40000.0,218964.0373465062,-160901.69877581336,-3.1104572720736194,-0.16090169877581367,-160904.9701347842,534589.4437527461
2025-05-14,-0.5835853963005218,0.7852237564000809,-1.0,0.0,57.28,311.2,-40167.09511568124,218226.25698324022,94260.05920787567,-3.079832572298326,-0.09426005920787618,94256.88511524416,628846.3288679903
2025-05-15,-1.9756829627272252,0.7914965706147333,1.0,2.0,57.12,302.51,41320.94806783247,-218837.5350140056,314135.85543795064,-3.0120124680619633,-49.616031742327415,314083.22739374026,942929.5562617306
2025-05-16,0.7971912580141312,0.7901599321240411,1.0,0.0,57.016,305.46,40921.8882996137,-219236.70548617933,144655.9004415617,2.6438881575647115,-0.1446559004415608,144658.3996738188,1087587.9559355495
2025-05-19,0.9033963945507032,0.7981275080640927,1.0,0.0,57.45,311.2,40167.09511568124,-217580.50478677108,139742.9086587802,2.669686066706191,-0.3300403690207874,139745.2483044779,1227333.2042400273
2025-05-20,-1.386612044753842,0.8007895585492293,1.0,0.0,57.35,305.2,40956.749672346006,-217959.8953792502,-219244.52021541,2.5610344206938915,-0.26276062117276494,-219242.2219416105,1008090.9822984168
2025-05-21,-0.7852787606765491,0.7944799555287729,1.0,0.0,57.687,303.58,41175.30799130378,-216686.60183403542,-139802.4192120072,2.6009094517954634,-0.1398024192120059,-139799.9581049746,868291.0241934422
2025-05-22,0.38575265941795994,0.7929284176529366,1.0,0.0,57.44,304.25,41084.63434675431,-217618.38440111422,81109.04700718091,2.6223563446775127,-0.08110904700718194,81111.58825447859,949402.6124479207
2025-05-23,-0.8057545227437547,0.7879770275605297,1.0,0.0,57.7,302.22,41360.59823969293,-216637.7816291161,-139982.58766820093,2.5970163300478126,-0.13998258766820135,-139980.13063445853,809422.4818134622
2025-05-26,-0.7844617157124213,0.7995946086629997,1.0,0.0,57.028,296.37,42177.0084691433,-219190.5730518342,-96378.9104474377,2.5608159437513986,-0.38754008895697273,-96376.73717158289,713045.7446418793
2025-05-27,0.8043644027917674,0.7994068936438745,1.0,0.0,56.999,299.5,41736.227045075124,-219302.09301917578,138370.56312692072,2.646198029644235,-0.13837056312692222,138373.07095438722,851418.8155962665
2025-05-28,1.4955064008245063,0.8064317545004862,1.0,0.0,57.22,306.54,40777.71253343772,-218455.08563439356,245357.27584009265,2.6831407241394203,-0.34228880095456854,245359.61669201584,1096778.4322882823
2025-05-29,-0.3118663754264561,0.8035309154494618,1.0,0.0,57.58,307.0,40716.612377850164,-217089.26710663424,-59886.08306300104,2.6203404294745916,-0.09740157859376088,-59883.56012415016,1036894.8721641322
2025-05-30,0.1658500208971114,0.8041845900661864,0.0,-1.0,57.894,309.19,0.0,-0.0,21003.351236008602,2.874239584727738,-25.157335410978973,20981.068140182353,1057875.9403043145
2025-06-02,-0.18378924042974015,0.8013928770517413,0.0,0.0,58.448,310.99,0.0,-0.0,0.0,0.0,-0.0,0.0,1057875.9403043145
2025-06-03,0.20940013159110804,0.8026106736807743,0.0,0.0,58.88,313.86,0.0,-0.0,0.0,0.0,-0.0,0.0,1057875.9403043145
2025-06-04,-0.40183682437219354,0.7988966360582479,1.0,1.0,59.297,314.17,39787.37626125982,-210803.24468354217,0.0,-0.23782343987823484,-25.0,-25.237823439878234,1057850.7024808747
2025-06-05,0.971777564583706,0.7974867741003037,1.0,0.0,59.221,318.0,39308.17610062893,-211073.77450566523,168406.6976765738,2.650849083199533,-0.16840669767657332,168409.1801189593,1226259.8825998341
2025-06-06,-0.704832549473708,0.8051576804107479,1.0,0.0,58.699,313.03,39932.27486183433,-212950.81687933355,-85181.12492816993,2.571454725596622,-0.3055421455120832,-85178.85901558984,1141081.0235842443
