<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RGBI;1;20250812;183700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;183800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;183900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;184900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;185900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;190000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;000000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;095000;121.24;121.29;121.24;121.29;0;0
RGBI;1;20250813;095100;121.28;121.28;121.28;121.28;0;0
RGBI;1;20250813;095200;121.27;121.29;121.27;121.29;0;0
RGBI;1;20250813;095300;121.29;121.29;121.29;121.29;0;0
RGBI;1;20250813;095400;121.29;121.29;121.29;121.29;0;0
RGBI;1;20250813;095500;121.28;121.28;121.28;121.28;0;0
RGBI;1;20250813;095600;121.28;121.28;121.28;121.28;0;0
RGBI;1;20250813;095700;121.28;121.28;121.28;121.28;0;0
RGBI;1;20250813;095800;121.28;121.28;121.28;121.28;0;0
RGBI;1;20250813;095900;121.28;121.28;121.28;121.28;0;0
RGBI;1;20250813;100000;121.28;121.28;121.28;121.28;0;0
RGBI;1;20250813;100100;121.28;121.28;121.28;121.28;0;0
RGBI;1;20250813;100200;121.28;121.28;121.27;121.27;0;0
RGBI;1;20250813;100300;121.27;121.27;121.25;121.25;0;0
RGBI;1;20250813;100400;121.25;121.25;121.25;121.25;0;0
RGBI;1;20250813;100500;121.24;121.24;121.24;121.24;0;0
RGBI;1;20250813;100600;121.25;121.25;121.24;121.24;0;0
RGBI;1;20250813;100700;121.24;121.24;121.23;121.24;0;0
RGBI;1;20250813;100800;121.24;121.24;121.23;121.23;0;0
RGBI;1;20250813;100900;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101000;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101100;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101200;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101300;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101400;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101500;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101600;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101700;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101800;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;101900;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102000;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102100;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102200;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102300;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102400;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102500;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102600;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102700;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102800;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;102900;121.23;121.23;121.23;121.23;0;0
RGBI;1;20250813;103000;121.23;121.23;121.22;121.22;0;0
RGBI;1;20250813;103100;121.22;121.22;121.22;121.22;0;0
RGBI;1;20250813;103200;121.22;121.22;121.22;121.22;0;0
