<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОФЗ 26240;1;20250715;145200;62.05;62.059;62.022;62.052;61;0
ОФЗ 26240;1;20250715;145300;62.022;62.051;62.022;62.022;34;0
ОФЗ 26240;1;20250715;145400;62.02;62.02;62.02;62.02;1;0
ОФЗ 26240;1;20250715;145500;62.049;62.049;62.018;62.018;31;0
ОФЗ 26240;1;20250715;145600;62.049;62.049;62.049;62.049;1;0
ОФЗ 26240;1;20250715;145700;62.049;62.049;62.018;62.044;4074;0
ОФЗ 26240;1;20250715;145800;62.043;62.05;62.018;62.05;29;0
ОФЗ 26240;1;20250715;145900;62.032;62.034;62.032;62.033;54;0
ОФЗ 26240;1;20250715;150000;62.033;62.033;62.033;62.033;4;0
ОФЗ 26240;1;20250715;150100;62.032;62.032;61.981;62.028;71;0
ОФЗ 26240;1;20250715;150200;62.024;62.03;62.022;62.03;37;0
ОФЗ 26240;1;20250715;150300;62.03;62.047;62.03;62.047;25;0
ОФЗ 26240;1;20250715;150400;62.044;62.045;62.043;62.043;5;0
ОФЗ 26240;1;20250715;150500;62.041;62.041;62.041;62.041;1;0
ОФЗ 26240;1;20250715;150600;62.047;62.047;62.045;62.046;4;0
ОФЗ 26240;1;20250715;150700;62.045;62.049;62.045;62.045;21;0
ОФЗ 26240;1;20250715;150800;62.044;62.047;62.018;62.047;32;0
ОФЗ 26240;1;20250715;150900;62.05;62.05;62.05;62.05;3;0
ОФЗ 26240;1;20250715;151000;62.05;62.063;62.05;62.063;8;0
ОФЗ 26240;1;20250715;151100;62.058;62.06;62.057;62.057;58;0
ОФЗ 26240;1;20250715;151200;62.058;62.06;62.058;62.06;3;0
ОФЗ 26240;1;20250715;151300;62.058;62.058;62.057;62.057;5;0
ОФЗ 26240;1;20250715;151400;62.057;62.057;62.044;62.044;6;0
ОФЗ 26240;1;20250715;151500;62.054;62.055;62.054;62.055;12;0
ОФЗ 26240;1;20250715;151600;62.055;62.055;62.055;62.055;1;0
ОФЗ 26240;1;20250715;151700;62.052;62.052;62.043;62.043;27;0
ОФЗ 26240;1;20250715;151800;62.043;62.043;62.04;62.04;35;0
ОФЗ 26240;1;20250715;151900;62.043;62.043;62.043;62.043;1;0
ОФЗ 26240;1;20250715;152000;62.043;62.043;62.043;62.043;9;0
ОФЗ 26240;1;20250715;152100;62.043;62.043;62.043;62.043;6;0
ОФЗ 26240;1;20250715;152200;62.043;62.043;62.042;62.042;35;0
ОФЗ 26240;1;20250715;152300;62.042;62.043;62.042;62.043;17;0
ОФЗ 26240;1;20250715;152400;62.041;62.042;62.041;62.042;7;0
ОФЗ 26240;1;20250715;152500;62.042;62.042;61.98;62.04;87;0
ОФЗ 26240;1;20250715;152600;62.039;62.04;62.008;62.008;20;0
ОФЗ 26240;1;20250715;152700;62.039;62.039;62.039;62.039;1;0
ОФЗ 26240;1;20250715;152800;62.04;62.056;62.04;62.05;352;0
ОФЗ 26240;1;20250715;152900;62.049;62.07;62.049;62.07;360;0
ОФЗ 26240;1;20250715;153000;62.07;62.07;62.07;62.07;1;0
ОФЗ 26240;1;20250715;153100;62.07;62.07;62.07;62.07;11;0
ОФЗ 26240;1;20250715;153200;62.069;62.069;62.069;62.069;17;0
ОФЗ 26240;1;20250715;153300;62.069;62.07;62.051;62.07;102;0
ОФЗ 26240;1;20250715;153400;62.07;62.096;62.07;62.094;136;0
ОФЗ 26240;1;20250715;153500;62.094;62.094;62.054;62.088;35;0
