dt,z,beta,vol_scale,z_enter_eff,z_exit_eff,pos_coef,hedge_close,sber_close,sber_qty,hedge_qty,pos_change,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-07-18 18:26:00,1.0111743713047123,0.13618379602333525,1.0,1.75,0.8,0.0,63.364,309.11,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:27:00,-0.18456096546989187,0.13637756698022394,1.0,1.75,0.8,0.0,63.364,309.1,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:28:00,-0.36854158266846504,0.14484033451310954,1.0,1.75,0.8,0.0,63.351,309.06,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:29:00,-4.401219930106214,0.1497264259028435,1.0,1.75,0.8,0.0,63.351,308.56,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:30:00,-3.2719236799676485,0.15309126654388797,1.0,1.75,0.8,0.0,63.35,308.18,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:31:00,-0.496225675108182,0.15576542553259476,1.0,1.75,0.8,0.0,63.34,308.12,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:32:00,1.0409504822378404,0.15602703196404014,1.0,1.75,0.8,0.0,63.341,308.25,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:33:00,1.8732582602786398,0.15514816520755842,1.0,1.75,0.8,0.0,63.341,308.48,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:34:00,-1.239688602064871,0.15585303690548538,1.0,1.75,0.8,0.0,63.341,308.34,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:35:00,-1.7786376688509005,0.16121913918208078,1.0,1.75,0.8,0.0,63.335,308.13,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:36:00,-0.8568890355041505,0.16339488825089993,1.0,1.75,0.8,0.0,63.33,308.03,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:37:00,0.061771654980847905,0.16221373789025612,1.0,1.75,0.8,0.0,63.326,308.04,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:38:00,0.45409633794459964,0.1620008816681653,1.0,1.75,0.8,0.0,63.326,308.1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:39:00,0.38732766900617793,0.19327171689569295,1.0,1.75,0.8,0.0,63.303,308.13,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:45:00,-0.23778868296286887,0.20373281972848553,1.0,1.75,0.8,0.0,63.326,308.13,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:46:00,0.003753798197563165,0.20378674293251334,1.0,1.75,0.8,0.0,63.32,308.13,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:47:00,-0.1682647798501263,0.20206036755873888,1.0,1.75,0.8,0.0,63.335,308.13,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:48:00,-0.041163265469181316,0.20197558058854498,1.0,1.75,0.8,0.0,63.335,308.13,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:49:00,-0.04153686356727895,0.20225599314429824,1.0,1.75,0.8,0.0,63.335,308.13,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:00:00,8.429464529368298,1.9616603890893383,1.0,1.75,0.4,0.0,63.73,313.1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:01:00,0.5687882202011003,1.9742861109598113,1.0,2.4749999999999996,0.5,0.0,63.738,313.27,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:02:00,4.0671593663127075,1.9353362837160575,1.0,2.4749999999999996,0.5,0.0,63.674,313.28,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:03:00,4.726910857788501,1.8623130860700312,1.0,2.4749999999999996,0.5,0.0,63.573,313.11,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
