dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,pos_dir,pos_coef,z_enter_eff,z_exit_eff,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-07-17 15:51:00,326.29,62.793,0.17035390529065275,-0.1555250559893506,1.0,0.0003780157285985176,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:52:00,326.23,62.796,0.17044553908635582,-0.49086932210218637,1.0,0.000371230980875557,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:53:00,326.23,62.795,0.17045995607520714,0.04357515759102814,1.0,0.00036715664249019,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:54:00,326.18,62.795,0.1701251259495267,-0.3753231236501042,1.0,0.00036581450648839875,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:55:00,326.16,62.795,0.17014045615283546,-0.12172555370382092,1.0,0.00036568843375459157,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:56:00,326.13,62.799,0.1690670164587763,-0.23087578029485642,1.0,0.00036519382794171067,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:57:00,325.97,62.8,0.17069206409638638,-1.2981971935869625,1.0,0.0003655650522890971,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:58:00,325.88,62.8,0.16903902667875428,-0.7050271478771257,1.0,0.0003653737464896064,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:59:00,325.85,62.8,0.17043154901790136,-0.20933618977618793,1.0,0.00036294686332348324,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 16:00:00,325.61,62.795,0.20833026889455608,-1.9162995549556672,1.0,0.0003649700277266431,1,0.5475141585587621,1.75,0.4,1.0,84075.14489093733,-435953.6257335473,0.0,-0.9512937595129394,-54.7514158558762,-55.70270961538914,904703.765597758,982812.9141092207,-78109.14851146273,-5.570270961538914e-07
2025-07-17 16:01:00,325.6,62.8,0.16559820123518024,-0.06376226771507115,1.0,0.00036497287219047634,0,0.0,1.8758495904054893,0.4273757079279381,-1.0,0.0,-0.0,-3020.5195775743623,6.2499696749975335,-54.75275487255597,-3069.022362771921,901634.7432349861,982812.9141092207,-81178.17087423464,-3.069022362771921e-05
2025-07-17 16:02:00,325.57,62.797,0.1295312976176878,-0.17500511677871083,1.0,0.00036446433847455773,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,901634.7432349861,982812.9141092207,-81178.17087423464,0.0
2025-07-17 16:04:00,325.51,62.8,0.11118699174309866,-0.4547406533683866,1.0,0.00036420710653377623,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,901634.7432349861,982812.9141092207,-81178.17087423464,0.0
